,Date,Negative,Neutral,Positive,Tweets_ago,Twitter_handle,compound
0,Fri Feb 09 04:33:06 +0000 2018,0.0,1.0,0.0,1,@CBSNews,0.0
1,Fri Feb 09 04:18:11 +0000 2018,0.0,1.0,0.0,2,@CBSNews,0.0
2,Fri Feb 09 04:03:08 +0000 2018,0.0,0.553,0.447,3,@CBSNews,0.8658
3,Fri Feb 09 04:01:02 +0000 2018,0.392,0.608,0.0,4,@CBSNews,-0.7964
4,Fri Feb 09 03:46:04 +0000 2018,0.0,1.0,0.0,5,@CBSNews,0.0
5,Fri Feb 09 03:40:01 +0000 2018,0.213,0.679,0.109,6,@CBSNews,-0.5106
6,Fri Feb 09 03:20:01 +0000 2018,0.0,1.0,0.0,7,@CBSNews,0.0
7,Fri Feb 09 03:02:06 +0000 2018,0.415,0.585,0.0,8,@CBSNews,-0.8316
8,Fri Feb 09 03:01:01 +0000 2018,0.0,1.0,0.0,9,@CBSNews,0.0
9,Fri Feb 09 02:40:01 +0000 2018,0.0,1.0,0.0,10,@CBSNews,0.0
10,Fri Feb 09 02:20:01 +0000 2018,0.0,0.751,0.249,11,@CBSNews,0.5106
11,Fri Feb 09 02:01:01 +0000 2018,0.0,1.0,0.0,12,@CBSNews,0.0
12,Fri Feb 09 01:54:00 +0000 2018,0.041,0.959,0.0,13,@CBSNews,-0.0191
13,Fri Feb 09 01:50:00 +0000 2018,0.0,1.0,0.0,14,@CBSNews,0.0
14,Fri Feb 09 01:35:01 +0000 2018,0.0,0.533,0.467,15,@CBSNews,0.9081
15,Fri Feb 09 01:20:00 +0000 2018,0.0,1.0,0.0,16,@CBSNews,0.0
16,Fri Feb 09 01:00:02 +0000 2018,0.0,0.864,0.136,17,@CBSNews,0.4576
17,Fri Feb 09 00:40:02 +0000 2018,0.38,0.62,0.0,18,@CBSNews,-0.8689
18,Fri Feb 09 00:25:01 +0000 2018,0.098,0.736,0.166,19,@CBSNews,0.2732
19,Fri Feb 09 00:16:00 +0000 2018,0.0,1.0,0.0,20,@CBSNews,0.0
20,Fri Feb 09 04:33:06 +0000 2018,0.0,1.0,0.0,21,@CBSNews,0.0
21,Fri Feb 09 04:18:11 +0000 2018,0.0,1.0,0.0,22,@CBSNews,0.0
22,Fri Feb 09 04:03:08 +0000 2018,0.0,0.553,0.447,23,@CBSNews,0.8658
23,Fri Feb 09 04:01:02 +0000 2018,0.392,0.608,0.0,24,@CBSNews,-0.7964
24,Fri Feb 09 03:46:04 +0000 2018,0.0,1.0,0.0,25,@CBSNews,0.0
25,Fri Feb 09 03:40:01 +0000 2018,0.213,0.679,0.109,26,@CBSNews,-0.5106
26,Fri Feb 09 03:20:01 +0000 2018,0.0,1.0,0.0,27,@CBSNews,0.0
27,Fri Feb 09 03:02:06 +0000 2018,0.415,0.585,0.0,28,@CBSNews,-0.8316
28,Fri Feb 09 03:01:01 +0000 2018,0.0,1.0,0.0,29,@CBSNews,0.0
29,Fri Feb 09 02:40:01 +0000 2018,0.0,1.0,0.0,30,@CBSNews,0.0
30,Fri Feb 09 02:20:01 +0000 2018,0.0,0.751,0.249,31,@CBSNews,0.5106
31,Fri Feb 09 02:01:01 +0000 2018,0.0,1.0,0.0,32,@CBSNews,0.0
32,Fri Feb 09 01:54:00 +0000 2018,0.041,0.959,0.0,33,@CBSNews,-0.0191
33,Fri Feb 09 01:50:00 +0000 2018,0.0,1.0,0.0,34,@CBSNews,0.0
34,Fri Feb 09 01:35:01 +0000 2018,0.0,0.533,0.467,35,@CBSNews,0.9081
35,Fri Feb 09 01:20:00 +0000 2018,0.0,1.0,0.0,36,@CBSNews,0.0
36,Fri Feb 09 01:00:02 +0000 2018,0.0,0.864,0.136,37,@CBSNews,0.4576
37,Fri Feb 09 00:40:02 +0000 2018,0.38,0.62,0.0,38,@CBSNews,-0.8689
38,Fri Feb 09 00:25:01 +0000 2018,0.098,0.736,0.166,39,@CBSNews,0.2732
39,Fri Feb 09 00:16:00 +0000 2018,0.0,1.0,0.0,40,@CBSNews,0.0
40,Fri Feb 09 00:03:43 +0000 2018,0.0,0.695,0.305,41,@CBSNews,0.6908
41,Thu Feb 08 23:55:03 +0000 2018,0.0,0.599,0.401,42,@CBSNews,0.9081
42,Thu Feb 08 23:52:42 +0000 2018,0.132,0.868,0.0,43,@CBSNews,-0.3774
43,Thu Feb 08 23:50:17 +0000 2018,0.252,0.748,0.0,44,@CBSNews,-0.7506
44,Thu Feb 08 23:46:41 +0000 2018,0.0,1.0,0.0,45,@CBSNews,0.0
45,Thu Feb 08 23:42:53 +0000 2018,0.429,0.571,0.0,46,@CBSNews,-0.9001
46,Thu Feb 08 23:38:52 +0000 2018,0.0,1.0,0.0,47,@CBSNews,0.0
47,Thu Feb 08 23:35:31 +0000 2018,0.0,1.0,0.0,48,@CBSNews,0.0
48,Thu Feb 08 23:15:01 +0000 2018,0.0,1.0,0.0,49,@CBSNews,0.0
49,Thu Feb 08 23:00:02 +0000 2018,0.0,0.815,0.185,50,@CBSNews,0.5106
50,Thu Feb 08 22:40:31 +0000 2018,0.134,0.866,0.0,51,@CBSNews,-0.4767
51,Thu Feb 08 22:35:01 +0000 2018,0.0,1.0,0.0,52,@CBSNews,0.0
52,Thu Feb 08 22:25:32 +0000 2018,0.0,1.0,0.0,53,@CBSNews,0.0
53,Thu Feb 08 22:05:32 +0000 2018,0.0,0.868,0.132,54,@CBSNews,0.4404
54,Thu Feb 08 21:50:01 +0000 2018,0.0,0.794,0.206,55,@CBSNews,0.5267
55,Thu Feb 08 21:35:30 +0000 2018,0.0,0.725,0.275,56,@CBSNews,0.8225
56,Thu Feb 08 21:22:55 +0000 2018,0.0,1.0,0.0,57,@CBSNews,0.0
57,Thu Feb 08 21:20:41 +0000 2018,0.0,0.878,0.122,58,@CBSNews,0.3612
58,Thu Feb 08 21:14:31 +0000 2018,0.0,1.0,0.0,59,@CBSNews,0.0
59,Thu Feb 08 21:09:04 +0000 2018,0.0,1.0,0.0,60,@CBSNews,0.0
60,Thu Feb 08 21:08:22 +0000 2018,0.0,1.0,0.0,61,@CBSNews,0.0
61,Thu Feb 08 21:05:14 +0000 2018,0.0,1.0,0.0,62,@CBSNews,0.0
62,Thu Feb 08 21:02:18 +0000 2018,0.0,1.0,0.0,63,@CBSNews,0.0
63,Thu Feb 08 21:02:02 +0000 2018,0.0,0.847,0.153,64,@CBSNews,0.4019
64,Thu Feb 08 20:59:14 +0000 2018,0.0,1.0,0.0,65,@CBSNews,0.0
65,Thu Feb 08 20:47:44 +0000 2018,0.167,0.833,0.0,66,@CBSNews,-0.5574
66,Thu Feb 08 20:43:03 +0000 2018,0.0,1.0,0.0,67,@CBSNews,0.0
67,Thu Feb 08 20:16:51 +0000 2018,0.206,0.794,0.0,68,@CBSNews,-0.6597
68,Thu Feb 08 19:52:32 +0000 2018,0.213,0.787,0.0,69,@CBSNews,-0.2263
69,Thu Feb 08 19:52:04 +0000 2018,0.0,1.0,0.0,70,@CBSNews,0.0
70,Thu Feb 08 19:30:47 +0000 2018,0.0,0.746,0.254,71,@CBSNews,0.7003
71,Thu Feb 08 19:20:01 +0000 2018,0.0,1.0,0.0,72,@CBSNews,0.0
72,Thu Feb 08 19:04:07 +0000 2018,0.0,0.599,0.401,73,@CBSNews,0.9081
73,Thu Feb 08 18:40:01 +0000 2018,0.0,1.0,0.0,74,@CBSNews,0.0
74,Thu Feb 08 18:32:13 +0000 2018,0.0,1.0,0.0,75,@CBSNews,0.0
75,Thu Feb 08 18:30:02 +0000 2018,0.0,1.0,0.0,76,@CBSNews,0.0
76,Thu Feb 08 18:25:01 +0000 2018,0.138,0.757,0.105,77,@CBSNews,-0.2006
77,Thu Feb 08 18:24:55 +0000 2018,0.0,1.0,0.0,78,@CBSNews,0.0
78,Thu Feb 08 18:10:01 +0000 2018,0.257,0.743,0.0,79,@CBSNews,-0.6705
79,Thu Feb 08 18:00:27 +0000 2018,0.0,1.0,0.0,80,@CBSNews,0.0
80,Thu Feb 08 17:55:01 +0000 2018,0.0,0.864,0.136,81,@CBSNews,0.5106
81,Thu Feb 08 17:35:01 +0000 2018,0.0,0.798,0.202,82,@CBSNews,0.5106
82,Thu Feb 08 17:24:29 +0000 2018,0.0,0.746,0.254,83,@CBSNews,0.6249
83,Thu Feb 08 17:21:01 +0000 2018,0.0,0.931,0.069,84,@CBSNews,0.1027
84,Thu Feb 08 17:05:32 +0000 2018,0.0,1.0,0.0,85,@CBSNews,0.0
85,Thu Feb 08 16:54:41 +0000 2018,0.0,1.0,0.0,86,@CBSNews,0.0
86,Thu Feb 08 16:54:10 +0000 2018,0.0,0.894,0.106,87,@CBSNews,0.3612
87,Thu Feb 08 16:47:47 +0000 2018,0.108,0.763,0.129,88,@CBSNews,0.128
88,Thu Feb 08 16:37:44 +0000 2018,0.0,1.0,0.0,89,@CBSNews,0.0
89,Thu Feb 08 16:24:38 +0000 2018,0.0,1.0,0.0,90,@CBSNews,0.0
90,Thu Feb 08 16:06:11 +0000 2018,0.0,1.0,0.0,91,@CBSNews,0.0
91,Thu Feb 08 16:00:02 +0000 2018,0.0,1.0,0.0,92,@CBSNews,0.0
92,Thu Feb 08 15:45:01 +0000 2018,0.11,0.679,0.21,93,@CBSNews,0.3306
93,Thu Feb 08 15:26:26 +0000 2018,0.0,1.0,0.0,94,@CBSNews,0.0
94,Thu Feb 08 15:10:01 +0000 2018,0.0,1.0,0.0,95,@CBSNews,0.0
95,Thu Feb 08 14:50:38 +0000 2018,0.0,1.0,0.0,96,@CBSNews,0.0
96,Thu Feb 08 14:32:01 +0000 2018,0.0,1.0,0.0,97,@CBSNews,0.0
97,Thu Feb 08 14:15:01 +0000 2018,0.327,0.673,0.0,98,@CBSNews,-0.8074
98,Thu Feb 08 13:55:26 +0000 2018,0.259,0.741,0.0,99,@CBSNews,-0.7669
99,Thu Feb 08 13:51:58 +0000 2018,0.0,1.0,0.0,100,@CBSNews,0.0
