,Date,Negative,Neutral,Positive,Tweets_ago,Twitter_handle,compound
0,Fri Feb 09 04:31:05 +0000 2018,0.131,0.759,0.11,1,@CNN,-0.128
1,Fri Feb 09 04:16:04 +0000 2018,0.306,0.694,0.0,2,@CNN,-0.765
2,Fri Feb 09 04:11:29 +0000 2018,0.0,0.673,0.327,3,@CNN,0.9042
3,Fri Feb 09 04:08:26 +0000 2018,0.099,0.798,0.103,4,@CNN,0.0258
4,Fri Feb 09 04:01:02 +0000 2018,0.0,1.0,0.0,5,@CNN,0.0
5,Fri Feb 09 03:58:24 +0000 2018,0.159,0.841,0.0,6,@CNN,-0.5574
6,Fri Feb 09 03:57:41 +0000 2018,0.118,0.784,0.098,7,@CNN,-0.1531
7,Fri Feb 09 03:56:08 +0000 2018,0.0,1.0,0.0,8,@CNN,0.0
8,Fri Feb 09 03:52:35 +0000 2018,0.0,1.0,0.0,9,@CNN,0.0
9,Fri Feb 09 03:51:03 +0000 2018,0.0,0.838,0.162,10,@CNN,0.4019
10,Fri Feb 09 03:44:15 +0000 2018,0.272,0.728,0.0,11,@CNN,-0.6249
11,Fri Feb 09 03:44:05 +0000 2018,0.091,0.909,0.0,12,@CNN,-0.3182
12,Fri Feb 09 03:40:02 +0000 2018,0.159,0.841,0.0,13,@CNN,-0.5574
13,Fri Feb 09 03:31:17 +0000 2018,0.375,0.625,0.0,14,@CNN,-0.8957
14,Fri Feb 09 03:18:27 +0000 2018,0.198,0.802,0.0,15,@CNN,-0.6369
15,Fri Feb 09 02:56:08 +0000 2018,0.0,1.0,0.0,16,@CNN,0.0
16,Fri Feb 09 02:52:08 +0000 2018,0.505,0.394,0.1,17,@CNN,-0.9062
17,Fri Feb 09 02:45:48 +0000 2018,0.291,0.709,0.0,18,@CNN,-0.8316
18,Fri Feb 09 02:40:30 +0000 2018,0.126,0.811,0.063,19,@CNN,-0.3384
19,Fri Feb 09 02:21:57 +0000 2018,0.394,0.606,0.0,20,@CNN,-0.8316
20,Fri Feb 09 04:31:05 +0000 2018,0.131,0.759,0.11,21,@CNN,-0.128
21,Fri Feb 09 04:16:04 +0000 2018,0.306,0.694,0.0,22,@CNN,-0.765
22,Fri Feb 09 04:11:29 +0000 2018,0.0,0.673,0.327,23,@CNN,0.9042
23,Fri Feb 09 04:08:26 +0000 2018,0.099,0.798,0.103,24,@CNN,0.0258
24,Fri Feb 09 04:01:02 +0000 2018,0.0,1.0,0.0,25,@CNN,0.0
25,Fri Feb 09 03:58:24 +0000 2018,0.159,0.841,0.0,26,@CNN,-0.5574
26,Fri Feb 09 03:57:41 +0000 2018,0.118,0.784,0.098,27,@CNN,-0.1531
27,Fri Feb 09 03:56:08 +0000 2018,0.0,1.0,0.0,28,@CNN,0.0
28,Fri Feb 09 03:52:35 +0000 2018,0.0,1.0,0.0,29,@CNN,0.0
29,Fri Feb 09 03:51:03 +0000 2018,0.0,0.838,0.162,30,@CNN,0.4019
30,Fri Feb 09 03:44:15 +0000 2018,0.272,0.728,0.0,31,@CNN,-0.6249
31,Fri Feb 09 03:44:05 +0000 2018,0.091,0.909,0.0,32,@CNN,-0.3182
32,Fri Feb 09 03:40:02 +0000 2018,0.159,0.841,0.0,33,@CNN,-0.5574
33,Fri Feb 09 03:31:17 +0000 2018,0.375,0.625,0.0,34,@CNN,-0.8957
34,Fri Feb 09 03:18:27 +0000 2018,0.198,0.802,0.0,35,@CNN,-0.6369
35,Fri Feb 09 02:56:08 +0000 2018,0.0,1.0,0.0,36,@CNN,0.0
