,Date,Negative,Neutral,Positive,Tweets_ago,Twitter_handle,compound
0,Fri Feb 09 03:29:31 +0000 2018,0.0,0.821,0.179,1,@Fox,0.4451
1,Fri Feb 09 01:59:17 +0000 2018,0.0,1.0,0.0,2,@Fox,0.0
2,Fri Feb 09 01:45:27 +0000 2018,0.0,0.923,0.077,3,@Fox,0.128
3,Fri Feb 09 01:29:08 +0000 2018,0.216,0.784,0.0,4,@Fox,-0.5106
4,Fri Feb 09 01:16:03 +0000 2018,0.129,0.706,0.165,5,@Fox,0.2263
5,Fri Feb 09 01:14:30 +0000 2018,0.116,0.774,0.11,6,@Fox,-0.0377
6,Fri Feb 09 00:58:37 +0000 2018,0.0,1.0,0.0,7,@Fox,0.0
7,Fri Feb 09 00:39:34 +0000 2018,0.0,1.0,0.0,8,@Fox,0.0
8,Fri Feb 09 00:13:12 +0000 2018,0.0,1.0,0.0,9,@Fox,0.0
9,Thu Feb 08 23:35:52 +0000 2018,0.0,0.853,0.147,10,@Fox,0.4767
10,Thu Feb 08 23:33:51 +0000 2018,0.0,0.889,0.111,11,@Fox,0.3612
11,Thu Feb 08 23:29:24 +0000 2018,0.0,1.0,0.0,12,@Fox,0.0
12,Thu Feb 08 23:28:52 +0000 2018,0.0,1.0,0.0,13,@Fox,0.0
13,Thu Feb 08 22:26:28 +0000 2018,0.0,1.0,0.0,14,@Fox,0.0
14,Thu Feb 08 22:25:03 +0000 2018,0.0,0.841,0.159,15,@Fox,0.5574
15,Thu Feb 08 22:25:01 +0000 2018,0.0,0.653,0.347,16,@Fox,0.4926
16,Thu Feb 08 20:48:45 +0000 2018,0.0,0.661,0.339,17,@Fox,0.8286
17,Thu Feb 08 20:43:39 +0000 2018,0.133,0.867,0.0,18,@Fox,-0.3182
18,Thu Feb 08 20:40:47 +0000 2018,0.0,1.0,0.0,19,@Fox,0.0
19,Thu Feb 08 20:36:43 +0000 2018,0.134,0.866,0.0,20,@Fox,-0.4767
20,Fri Feb 09 03:29:31 +0000 2018,0.0,0.821,0.179,21,@Fox,0.4451
21,Fri Feb 09 01:59:17 +0000 2018,0.0,1.0,0.0,22,@Fox,0.0
22,Fri Feb 09 01:45:27 +0000 2018,0.0,0.923,0.077,23,@Fox,0.128
23,Fri Feb 09 01:29:08 +0000 2018,0.216,0.784,0.0,24,@Fox,-0.5106
24,Fri Feb 09 01:16:03 +0000 2018,0.129,0.706,0.165,25,@Fox,0.2263
25,Fri Feb 09 01:14:30 +0000 2018,0.116,0.774,0.11,26,@Fox,-0.0377
26,Fri Feb 09 00:58:37 +0000 2018,0.0,1.0,0.0,27,@Fox,0.0
27,Fri Feb 09 00:39:34 +0000 2018,0.0,1.0,0.0,28,@Fox,0.0
28,Fri Feb 09 00:13:12 +0000 2018,0.0,1.0,0.0,29,@Fox,0.0
29,Thu Feb 08 23:35:52 +0000 2018,0.0,0.853,0.147,30,@Fox,0.4767
30,Thu Feb 08 23:33:51 +0000 2018,0.0,0.889,0.111,31,@Fox,0.3612
31,Thu Feb 08 23:29:24 +0000 2018,0.0,1.0,0.0,32,@Fox,0.0
32,Thu Feb 08 23:28:52 +0000 2018,0.0,1.0,0.0,33,@Fox,0.0
33,Thu Feb 08 22:26:28 +0000 2018,0.0,1.0,0.0,34,@Fox,0.0
34,Thu Feb 08 22:25:03 +0000 2018,0.0,0.841,0.159,35,@Fox,0.5574
35,Thu Feb 08 22:25:01 +0000 2018,0.0,0.653,0.347,36,@Fox,0.4926
36,Thu Feb 08 20:48:45 +0000 2018,0.0,0.661,0.339,37,@Fox,0.8286
37,Thu Feb 08 20:43:39 +0000 2018,0.133,0.867,0.0,38,@Fox,-0.3182
38,Thu Feb 08 20:40:47 +0000 2018,0.0,1.0,0.0,39,@Fox,0.0
39,Thu Feb 08 20:36:43 +0000 2018,0.134,0.866,0.0,40,@Fox,-0.4767
40,Thu Feb 08 20:35:24 +0000 2018,0.0,0.789,0.211,41,@Fox,0.4939
41,Thu Feb 08 09:15:58 +0000 2018,0.0,0.519,0.481,42,@Fox,0.7579
42,Thu Feb 08 09:11:04 +0000 2018,0.0,1.0,0.0,43,@Fox,0.0
43,Thu Feb 08 06:54:31 +0000 2018,0.0,0.902,0.098,44,@Fox,0.34
44,Thu Feb 08 03:15:58 +0000 2018,0.275,0.522,0.204,45,@Fox,-0.2282
