,Date,Negative,Neutral,Positive,Tweets_ago,Twitter_handle,compound
0,Fri Feb 09 04:33:02 +0000 2018,0.239,0.761,0.0,1,@nytimes,-0.296
1,Fri Feb 09 04:14:23 +0000 2018,0.0,1.0,0.0,2,@nytimes,0.0
2,Fri Feb 09 04:00:41 +0000 2018,0.0,1.0,0.0,3,@nytimes,0.0
3,Fri Feb 09 03:52:05 +0000 2018,0.103,0.851,0.046,4,@nytimes,-0.3818
4,Fri Feb 09 03:48:01 +0000 2018,0.0,1.0,0.0,5,@nytimes,0.0
5,Fri Feb 09 03:33:07 +0000 2018,0.401,0.599,0.0,6,@nytimes,-0.7717
6,Fri Feb 09 03:17:05 +0000 2018,0.067,0.933,0.0,7,@nytimes,-0.0772
7,Fri Feb 09 03:03:07 +0000 2018,0.0,1.0,0.0,8,@nytimes,0.0
8,Fri Feb 09 02:48:07 +0000 2018,0.0,0.841,0.159,9,@nytimes,0.3818
9,Fri Feb 09 02:36:41 +0000 2018,0.113,0.887,0.0,10,@nytimes,-0.3182
10,Fri Feb 09 02:33:01 +0000 2018,0.0,1.0,0.0,11,@nytimes,0.0
11,Fri Feb 09 02:18:05 +0000 2018,0.0,1.0,0.0,12,@nytimes,0.0
12,Fri Feb 09 02:06:05 +0000 2018,0.0,1.0,0.0,13,@nytimes,0.0
13,Fri Feb 09 02:05:00 +0000 2018,0.0,0.695,0.305,14,@nytimes,0.7845
14,Fri Feb 09 01:48:05 +0000 2018,0.0,1.0,0.0,15,@nytimes,0.0
15,Fri Feb 09 01:39:06 +0000 2018,0.091,0.909,0.0,16,@nytimes,-0.296
16,Fri Feb 09 01:33:02 +0000 2018,0.0,1.0,0.0,17,@nytimes,0.0
17,Fri Feb 09 01:18:06 +0000 2018,0.0,1.0,0.0,18,@nytimes,0.0
18,Fri Feb 09 01:12:18 +0000 2018,0.0,1.0,0.0,19,@nytimes,0.0
19,Fri Feb 09 01:03:09 +0000 2018,0.094,0.792,0.114,20,@nytimes,0.1027
20,Fri Feb 09 04:33:02 +0000 2018,0.239,0.761,0.0,21,@nytimes,-0.296
21,Fri Feb 09 04:14:23 +0000 2018,0.0,1.0,0.0,22,@nytimes,0.0
22,Fri Feb 09 04:00:41 +0000 2018,0.0,1.0,0.0,23,@nytimes,0.0
23,Fri Feb 09 03:52:05 +0000 2018,0.103,0.851,0.046,24,@nytimes,-0.3818
