,Date,Negative,Neutral,Positive,Tweets_ago,Twitter_handle,compound
0,Thu Feb 08 20:00:06 +0000 2018,0.0,0.769,0.231,1,@BBC,0.4019
1,Thu Feb 08 19:35:04 +0000 2018,0.0,0.845,0.155,2,@BBC,0.5106
2,Thu Feb 08 19:00:08 +0000 2018,0.0,0.894,0.106,3,@BBC,0.0772
3,Thu Feb 08 18:04:04 +0000 2018,0.0,1.0,0.0,4,@BBC,0.0
4,Thu Feb 08 17:31:01 +0000 2018,0.0,1.0,0.0,5,@BBC,0.0
5,Thu Feb 08 17:00:12 +0000 2018,0.0,0.815,0.185,6,@BBC,0.5927
6,Thu Feb 08 16:08:46 +0000 2018,0.0,0.867,0.133,7,@BBC,0.3818
7,Thu Feb 08 15:52:20 +0000 2018,0.132,0.868,0.0,8,@BBC,-0.4404
8,Thu Feb 08 15:06:01 +0000 2018,0.0,0.867,0.133,9,@BBC,0.3182
9,Thu Feb 08 14:30:07 +0000 2018,0.0,1.0,0.0,10,@BBC,0.0
10,Thu Feb 08 14:11:52 +0000 2018,0.0,0.705,0.295,11,@BBC,0.7712
11,Thu Feb 08 14:00:06 +0000 2018,0.0,1.0,0.0,12,@BBC,0.0
12,Thu Feb 08 13:52:38 +0000 2018,0.0,1.0,0.0,13,@BBC,0.0
13,Thu Feb 08 13:30:04 +0000 2018,0.0,0.917,0.083,14,@BBC,0.2714
14,Thu Feb 08 13:00:09 +0000 2018,0.0,1.0,0.0,15,@BBC,0.0
15,Thu Feb 08 12:30:03 +0000 2018,0.0,0.824,0.176,16,@BBC,0.128
16,Thu Feb 08 12:02:43 +0000 2018,0.0,1.0,0.0,17,@BBC,0.0
17,Thu Feb 08 12:00:09 +0000 2018,0.0,1.0,0.0,18,@BBC,0.0
18,Thu Feb 08 11:42:29 +0000 2018,0.0,0.866,0.134,19,@BBC,0.4199
19,Thu Feb 08 10:59:03 +0000 2018,0.0,0.797,0.203,20,@BBC,0.4215
20,Thu Feb 08 20:00:06 +0000 2018,0.0,0.769,0.231,21,@BBC,0.4019
21,Thu Feb 08 19:35:04 +0000 2018,0.0,0.845,0.155,22,@BBC,0.5106
22,Thu Feb 08 19:00:08 +0000 2018,0.0,0.894,0.106,23,@BBC,0.0772
23,Thu Feb 08 18:04:04 +0000 2018,0.0,1.0,0.0,24,@BBC,0.0
24,Thu Feb 08 17:31:01 +0000 2018,0.0,1.0,0.0,25,@BBC,0.0
25,Thu Feb 08 17:00:12 +0000 2018,0.0,0.815,0.185,26,@BBC,0.5927
26,Thu Feb 08 16:08:46 +0000 2018,0.0,0.867,0.133,27,@BBC,0.3818
27,Thu Feb 08 15:52:20 +0000 2018,0.132,0.868,0.0,28,@BBC,-0.4404
28,Thu Feb 08 15:06:01 +0000 2018,0.0,0.867,0.133,29,@BBC,0.3182
29,Thu Feb 08 14:30:07 +0000 2018,0.0,1.0,0.0,30,@BBC,0.0
30,Thu Feb 08 14:11:52 +0000 2018,0.0,0.705,0.295,31,@BBC,0.7712
31,Thu Feb 08 14:00:06 +0000 2018,0.0,1.0,0.0,32,@BBC,0.0
32,Thu Feb 08 13:52:38 +0000 2018,0.0,1.0,0.0,33,@BBC,0.0
33,Thu Feb 08 13:30:04 +0000 2018,0.0,0.917,0.083,34,@BBC,0.2714
34,Thu Feb 08 13:00:09 +0000 2018,0.0,1.0,0.0,35,@BBC,0.0
35,Thu Feb 08 12:30:03 +0000 2018,0.0,0.824,0.176,36,@BBC,0.128
36,Thu Feb 08 12:02:43 +0000 2018,0.0,1.0,0.0,37,@BBC,0.0
37,Thu Feb 08 12:00:09 +0000 2018,0.0,1.0,0.0,38,@BBC,0.0
38,Thu Feb 08 11:42:29 +0000 2018,0.0,0.866,0.134,39,@BBC,0.4199
39,Thu Feb 08 10:59:03 +0000 2018,0.0,0.797,0.203,40,@BBC,0.4215
40,Thu Feb 08 09:00:06 +0000 2018,0.0,0.825,0.175,41,@BBC,0.5267
41,Thu Feb 08 08:55:02 +0000 2018,0.0,1.0,0.0,42,@BBC,0.0
42,Thu Feb 08 08:54:55 +0000 2018,0.0,1.0,0.0,43,@BBC,0.0
43,Thu Feb 08 08:54:22 +0000 2018,0.0,1.0,0.0,44,@BBC,0.0
44,Thu Feb 08 08:54:16 +0000 2018,0.159,0.563,0.278,45,@BBC,0.6808
45,Thu Feb 08 08:54:04 +0000 2018,0.0,0.819,0.181,46,@BBC,0.6103
46,Thu Feb 08 08:51:40 +0000 2018,0.0,0.751,0.249,47,@BBC,0.6103
47,Thu Feb 08 08:40:02 +0000 2018,0.0,1.0,0.0,48,@BBC,0.0
48,Thu Feb 08 08:20:04 +0000 2018,0.0,0.873,0.127,49,@BBC,0.4404
49,Thu Feb 08 08:00:04 +0000 2018,0.252,0.407,0.341,50,@BBC,0.2732
50,Thu Feb 08 07:38:03 +0000 2018,0.0,0.842,0.158,51,@BBC,0.5514
51,Wed Feb 07 19:33:04 +0000 2018,0.0,1.0,0.0,52,@BBC,0.0
52,Wed Feb 07 19:28:12 +0000 2018,0.0,0.709,0.291,53,@BBC,0.5719
53,Wed Feb 07 19:27:31 +0000 2018,0.0,0.902,0.098,54,@BBC,0.3612
54,Wed Feb 07 19:26:22 +0000 2018,0.0,1.0,0.0,55,@BBC,0.0
55,Wed Feb 07 19:00:06 +0000 2018,0.0,1.0,0.0,56,@BBC,0.0
56,Wed Feb 07 18:30:09 +0000 2018,0.125,0.759,0.116,57,@BBC,-0.0516
57,Wed Feb 07 18:00:06 +0000 2018,0.0,0.8,0.2,58,@BBC,0.6124
58,Wed Feb 07 17:58:54 +0000 2018,0.0,1.0,0.0,59,@BBC,0.0
59,Wed Feb 07 17:58:18 +0000 2018,0.0,1.0,0.0,60,@BBC,0.0
60,Wed Feb 07 17:30:05 +0000 2018,0.0,1.0,0.0,61,@BBC,0.0
61,Wed Feb 07 14:32:05 +0000 2018,0.0,0.806,0.194,62,@BBC,0.5574
62,Wed Feb 07 14:18:40 +0000 2018,0.0,1.0,0.0,63,@BBC,0.0
63,Wed Feb 07 14:00:11 +0000 2018,0.0,0.7,0.3,64,@BBC,0.4588
64,Wed Feb 07 13:30:07 +0000 2018,0.0,1.0,0.0,65,@BBC,0.0
